name,time,حجم معاملات x1,نحوه توزیع ارز x2,الگوریتم اجماع x3,تکنولوژی و نوآوری x4,توزیع در چند شبکه x5,میانگین کارمزد تراکنش x6,قیمت پایانی x7,کنترل عرضه و ارزش منظم x8,حجم بازار Y
ETH,2021-01-10,301834730092,74.23,301.7334,1,11,7.95E-18,1262.246664,1.14E+08,144147690009
ETH,2021-01-17,259298253002,74.16,321.6027,1,11,7.81E-18,1230.172272,1.14E+08,140601384430
ETH,2021-01-24,273320283915,74.18,341.0405,1,11,9.02E-18,1391.609408,1.14E+08,159184556292
ETH,2021-01-31,1311754884436,74.17,360.4919,3,12,1.79E-17,1314.986229,1.15E+08,150543956657
ETH,2021-02-07,280790741208,74.12,379.2683,1,13,2.09E-17,1614.227823,1.15E+08,184955254625
ETH,2021-02-14,274834235663,74.06,394.0853,1,13,2.07E-17,1805.084047,1.15E+08,206994111570
ETH,2021-02-21,222027748896,74.07,407.9949,1,13,2.12E-17,1935.60106,1.15E+08,222144116574
ETH,2021-02-28,230065320353,74.09,422.7438,3,15,1.22E-17,1416.048906,1.15E+08,162650415374
ETH,2021-03-07,159760752478,74.04,436.6208,1,16,1.65E-17,1723.153796,1.15E+08,198088541070
ETH,2021-03-14,167054641759,74,450.9253,1,16,1.92E-17,1854.564378,1.15E+08,213370626930
ETH,2021-03-21,164754388552,73.99,465.4792,1,16,1.64E-17,1788.217009,1.15E+08,205906557856
ETH,2021-03-28,163726181464,74,479.9505,1,18,1.96E-17,1691.355965,1.15E+08,194913443083
ETH,2021-04-04,199331046462,73.97,493.663,1,17,1.65E-17,2093.122853,1.15E+08,241411837678
ETH,2021-04-11,184033037351,73.94,506.6591,5,18,1.71E-17,2157.657037,1.16E+08,249059103192
ETH,2021-04-18,238346115304,73.92,518.352,3,19,2.11E-17,2237.137028,1.16E+08,258444691650
ETH,2021-04-25,285051627061,73.9,529.8022,3,19,1.07E-17,2316.059659,1.16E+08,267780847561
ETH,2021-05-02,220866851896,73.87,541.2247,3,20,1.53E-17,2952.056055,1.16E+08,341593133886
ETH,2021-05-09,344594950619,73.9,552.7749,3,21,4.38E-17,3928.844706,1.16E+08,454991994900
ETH,2021-05-16,400749195286,73.84,564.2712,1,23,2.36E-17,3587.506206,1.16E+08,415801534962
ETH,2021-05-23,398441727888,73.85,576.0075,1,22,1.08E-17,2109.579852,1.16E+08,244704904961
ETH,2021-05-30,278778310751,73.84,587.4581,4,22,5.61E-18,2390.305302,1.16E+08,277492990927
ETH,2021-06-06,206114234749,73.81,598.9715,1,23,4.57E-18,2715.092661,1.16E+08,315453931558
ETH,2021-06-13,214989180606,73.77,610.5717,1,24,3.81E-18,2508.391632,1.16E+08,291673894435
ETH,2021-06-20,165998018623,73.77,622.0923,1,25,4.61E-18,2246.364533,1.17E+08,261416943134
ETH,2021-06-27,181271282627,73.75,633.4418,4,25,3.88E-18,1978.894662,1.17E+08,230473556118
ETH,2021-07-04,173236166988,73.72,645.0093,1,26,4.91E-18,2321.724112,1.17E+08,270621669241
ETH,2021-07-11,141898628329,73.73,653.686,1,26,5.10E-18,2139.664742,1.17E+08,249601597225
ETH,2021-07-18,109461389917,73.69,659.9791,1,26,4.70E-18,1895.552137,1.17E+08,221300983041
ETH,2021-07-25,117099495934,73.72,666.8661,1,26,7.31E-18,2191.37373,1.17E+08,256042010286
ETH,2021-08-01,187113585591,73.68,673.1031,8,27,1.11E-17,2561.852153,1.17E+08,299564961374
ETH,2021-08-08,236201269058,73.68,679.7045,4,27,1.72E-17,3013.732756,1.17E+08,352685939542
ETH,2021-08-15,177617150981,73.67,685.9088,5,27,1.48E-17,3310.504171,1.17E+08,387728432650
ETH,2021-08-22,144657511395,73.64,692.5251,5,28,2.48E-17,3242.115557,1.17E+08,380025418317
ETH,2021-08-29,122446358200,73.65,699.1201,5,29,3.97E-17,3227.002774,1.17E+08,378558550046
ETH,2021-09-05,166431911904,73.61,705.456,2,29,3.97E-17,3952.133497,1.17E+08,463997267858
ETH,2021-09-12,171456032652,73.62,711.5805,2,29,2.21E-17,3410.134593,1.17E+08,400686506367
ETH,2021-09-19,127464621870,73.57,717.8944,2,29,2.09E-17,3329.447895,1.18E+08,391520172702
ETH,2021-09-26,165736116791,73.58,724.9215,2,30,2.68E-17,3062.265356,1.18E+08,360390447457
ETH,2021-10-03,126510518146,73.61,731.0436,2,30,3.29E-17,3418.35866,1.18E+08,402619122254
ETH,2021-10-10,120426108412,73.54,738.7059,2,31,3.34E-17,3425.852853,1.18E+08,403822590446
ETH,2021-10-17,125796571016,73.53,747.4224,1,31,2.88E-17,3847.104595,1.18E+08,453838694184
ETH,2021-10-24,131136502497,73.54,756.4027,6,31,4.37E-17,4087.903005,1.18E+08,482628847456
ETH,2021-10-31,140412419359,73.52,764.8084,3,32,4.98E-17,4288.074452,1.18E+08,506663636947
ETH,2021-11-07,121471900421,73.51,773.7709,3,32,5.11E-17,4620.554503,1.18E+08,546381671971
ETH,2021-11-14,125752889254,73.5,782.3541,3,32,4.45E-17,4626.359126,1.18E+08,547499259423
ETH,2021-11-21,137429429244,73.49,791.3937,3,33,4.21E-17,4269.733034,1.18E+08,505690293990
ETH,2021-11-28,141179727083,73.49,800.3733,1,33,4.56E-17,4294.453696,1.18E+08,509016708179
ETH,2021-12-05,186741981086,73.46,808.6338,4,33,3.05E-17,4198.322873,1.18E+08,498007875686
ETH,2021-12-12,152799880859,73.43,817.2767,2,35,2.78E-17,4134.453331,1.18E+08,490816832310
ETH,2021-12-19,152915544013,73.44,826.0741,2,34,2.42E-17,3922.592644,1.18E+08,466037604379
ETH,2021-12-26,104768396134,73.45,835.2551,2,35,2.87E-17,4067.328097,1.18E+08,483620188465
ETH,2022-01-02,91186714758,73.39,843.5675,2,35,3.69E-17,3829.565045,1.18E+08,455713570381
ETH,2022-01-09,121333429463,73.36,852.7033,1,35,4.63E-17,3157.751485,1.18E+08,376068612894
