name,time,حجم معاملات x1,نحوه توزیع ارز x2,الگوریتم اجماع x3,تکنولوژی و نوآوری x4,توزیع در چند شبکه x5,میانگین کارمزد تراکنش x6,قیمت پایانی x7,کنترل عرضه و ارزش منظم x8,حجم بازار Y,,
VTC,2021-01-10,2235639.46,57.9,25.75,3,6,0.02276,0.2239673,60000000,12955623.01,,
VTC,2021-01-17,1659574.65,56.93,34.44,1,6,0.01917,0.19424304,60058989,11328423.48,,
VTC,2021-01-24,1008091.08,56.87,43.76,1,6,0.021723,0.19060467,60117978,11135657.91,,
VTC,2021-01-31,8062960.7,60.78,54.97,1,6,0.028095,0.283324,60176966,16582315.18,,
VTC,2021-02-07,3590152.14,56.93,72.36,1,6,0.020481,0.32104689,60235955,18822873.85,,
VTC,2021-02-14,16618935.05,57.53,89.83,4,6,0.02518,0.87105382,60294944,51160581.36,,
VTC,2021-02-21,8653945.8,58.59,107.43,2,7,0.031896,0.70827468,60353933,41672312.65,, 
VTC,2021-02-28,4466906.23,59.32,128.75,2,7,0.018479,0.53548472,60412921,31560638.07,,
VTC,2021-03-07,3012649.33,60.27,157.73,2,7,0.025628,0.67519088,60471910,39864128.26,,
VTC,2021-03-14,3608517.64,59.26,186.82,1,7,0.025224,0.62402495,60530899,36905988.09,,
VTC,2021-03-21,4530083.09,57.76,216.5,1,7,0.01943,0.69417739,60589888,41124819.5,,
VTC,2021-03-28,10237204.5,60.11,247.42,1,7,0.031242,0.66599315,60648876,39520797.34,,
VTC,2021-04-04,4131198.25,59.11,299.99,1,7,0.021367,0.6721027,60707865,39951781.7,,
VTC,2021-04-11,4766188.83,58.19,358.58,1,7,0.022406,0.6766487,60766854,40290334.06,,
VTC,2021-04-18,75615906.77,59.38,416.63,1,7,0.023751,1.18404634,60825843,70623417.16,,
VTC,2021-04-25,92800044.5,58.98,475.1,3,7,0.034141,1.6564322,60884831,98970990.57,,
VTC,2021-05-02,30659535.61,58.25,564.38,1,7,0.026606,1.44466574,60943820,86458183.83,,
VTC,2021-05-09,23808764.67,58.88,677.53,1,8,0.018903,1.3373428,61002809,80167712.47,,
VTC,2021-05-16,37203072.85,59.83,790.34,1,8,0.029663,1.23915614,61061798,74404445.1,,
VTC,2021-05-23,21505150.07,57.07,903.26,1,8,0.016985,0.58786846,61120787,35357390.93,,
VTC,2021-05-30,6940107.66,58.33,1016.99,1,8,0.02402,0.69985531,61179775,42163096.01,,
VTC,2021-06-06,2712627.32,59.31,1133.04,1,8,0.029233,0.69269262,61238764,41801226.59,,
VTC,2021-06-13,2856991.15,56.87,1250.08,1,8,0.019202,0.60828998,61297753,36767523.53,,
VTC,2021-06-20,2045843.4,56.5,1366.77,1,8,0.021603,0.50608369,61356742,30640417.83,,
VTC,2021-06-27,9063349.83,58.06,1481.71,1,8,0.027023,0.59230928,61415730,35920742.48,,
VTC,2021-07-04,3495499.06,56.4,1577.61,1,8,0.023085,0.56827186,61474719,34520056.28,,
VTC,2021-07-11,1368855.41,56.95,1667.57,1,8,0.034194,0.51522697,61533708,31349125.07,,
VTC,2021-07-18,1611066.4,56,1758.21,1,8,0.029418,0.46487112,61592697,28332289.87,,
VTC,2021-07-25,1269602.79,59.9,1848.46,1,8,0.016265,0.44988492,61651685,27464303.24,,
VTC,2021-08-01,3832079.43,56.12,1925.74,1,8,0.02583,0.53537138,61710674,32736419.39,,
VTC,2021-08-08,1938333.58,55.16,1985.38,1,8,0.02232,0.53361908,61769663,32683366.73,,
VTC,2021-08-15,6406559.21,54.89,2045.73,5,8,0.034346,0.68011702,61828652,41725057.97,,
VTC,2021-08-22,5036679.77,57.09,1996.14,3,9,0.018765,0.67858104,61887640,41697716.84,,
VTC,2021-08-29,2675990.7,53.78,1818.35,3,9,0.03286,0.62467296,61946629,38449149.59,,
